"ID","Key","Value"
"id-3a7fe37d71e744b1bbdc1810f9879f78","Access_Type","Read"
"id-6238c46ccd8d4a7188f62240e4a93349","Directed","false"
"EAID_0AD84F74_0C60_482e_8588_A4BF0CEFC82A","Access_Type","Read"
"id-5183da3ba08e48c1a5232b6579f7db8d","Directed","false"
"id-2b40aa4a016e47ba9327df3d4cd8951a","Access_Type","ReadWrite"
"id-b9ac96ff0bf444d2a74e38c7083045c5","Access_Type","Read"
"id-186e6bf881b34e998451dbabff8310df","Directed","false"
"id-6cfce95849904018b8cd1534e4551a8e","Directed","false"
"id-2cac648671724e069249d979f538734b","Directed","false"
"id-ec9bf9f555a14b8098c12eeb2a28ef4c","Access_Type","Read"
"EAID_4C555B54_3595_43d4_B0E8_4EA4F7073C56","Access_Type","Write"
"id-bf920df8a88348738557e73ea6298ee8","Directed","false"
"id-0574f9eb66ee4727a29e12bcc158601f","Directed","false"
"id-8bb79ae5a3c84706808195617e467326","Directed","false"
"id-7671cceecbfe4820a7ae777c4fb2e4ec","Access_Type","Read"
"id-bb0e3a3e307149dd9a5b7145147ac3ac","Access_Type","Read"
"id-27edc5292e0a436ba5a8acadeb3f41ff","Directed","false"
"id-d2d6a9569615462288e42f3a2030b6c2","Directed","false"
"id-cef434950cf24047a912a79f5a546fe8","Directed","false"
"EAID_759C2F75_FD19_4dbd_BD0D_AE6C19C418B5","Access_Type","Write"
"id-537c95f57af04d50844d9bfa66f26cbf","Access_Type","Read"
"id-d52cdb66eb2045829a0d7d0dbb7823cf","Access_Type","Read"
"id-152d8b30f8ef4ef0a3f65a039fb2cc53","Access_Type","Write"
"id-2fbed8ee81e248c096690c01cb01e8d8","Directed","false"
"id-dc6f1b590f4241a2a8a0b3d134bbdc42","Access_Type","Write"
"EAID_FF95376E_1A4C_4366_A0F8_7A0F8F04C1DD","Access_Type","Read"
"id-767b65b9cea144be9550d9e10689642a","Access_Type","ReadWrite"
"id-08da296e35624ddeb6df43d3474def79","Directed","false"
"id-2139b8f907434c40aa591b3164fd41b7","Access_Type","Write"
"id-ac627e8653304b258c69c9272348b34f","Access_Type","Read"
"EAID_4A546B09_7F70_43d3_8B80_8617F86846BE","Directed","false"
"id-8d65520c8543466ca186d72e910fe19d","Directed","false"
"id-f6466cab2e0c4d31a458d8bcc475f873","Directed","false"
"id-f7145b4ed2444cd69d9789d498aa8f37","Access_Type","Read"
"id-684faadb943d43b2bb809708d0329712","Access_Type","Read"
"id-08e16f41fec149ca83f60878da43015b","Directed","false"
"id-a45c8199fd9843d1a8fabf9b4c15cda6","Access_Type","Read"
"id-83976cf0e69540b1a12d4927a398c716","Access_Type","Write"
"id-572d12e6c342461d90af1409266020b3","Directed","false"
"id-be143747b4874a9ebdffa57ceba9402e","Access_Type","Read"
"id-792795ba7ba7458aa16ae5d7f6c2688b","Directed","false"
"EAID_1728B59E_1448_4532_AD54_A53B882C0973","Access_Type","ReadWrite"
"id-9ffa650a5f934b4188c3b13649d6c5d3","Directed","false"
"id-d45ecf0785c1466db77310dd27ae5f43","Directed","false"
"id-505bfbd4d7bb4013a0f9247fa36672c1","Directed","false"
"EAID_1E3ADB16_401F_4d26_8F21_3EF28F1F7907","Access_Type","Read"
"id-88eb88ee25aa435ca90c914d4a3b5da3","Access_Type","ReadWrite"
"id-925343a0696342128e39d74c64971447","Directed","false"
"id-f6e742439c2a4450a3dbbed8ee9decf9","Directed","false"
"id-f893340084ca4f5eae10a3d25c5f72a5","Access_Type","Write"
"id-d960125a0ce444b199c54a17bec651e4","Directed","false"
"id-a87adc6329244862b2600b10cf15b88f","Access_Type","Read"
"id-953e963a5271416ea6abefb8811aa64f","Access_Type","Read"
"id-51edd3c0b1a543c9825af85bff3314c5","Directed","true"
"id-c3f09c64389444c3ac747aa15c4063f9","Access_Type","Read"
"id-6ca57845105c47c2b88f5ae8c4638809","Directed","false"
"id-1b9f6493bfb24268a127d696fec697e0","Directed","false"
"id-a84821709a5a4021a321d405a9b0cb63","Access_Type","Read"
"id-5c3e6f0d80334216a7569acaf0a11f66","Access_Type","Write"
"EAID_BB042CEA_5896_40e4_8D5D_18CA815F424E","Directed","false"
"id-1ae49d4364a94354a75bfe6cc4cf80a6","Directed","false"
"id-e974c87933934c5eb4d4d8f6d677731a","Access_Type","Write"
"id-496c0648e8d64912a0747c7fdcb9bd76","Directed","false"
"id-59e8fde4a5264b8c97f11021a925a1db","Directed","false"
"id-94894fccbe1f454f9ea4b8150884682d","Directed","false"
"id-181ee846ed5d48b897ebe0cdf43ccd0a","Directed","false"
"id-3a0991ccf2a34d80835ecfad39a0b3d3","Access_Type","ReadWrite"
"id-3fda71508c2e471cadff0f49c643f223","Access_Type","Write"
"id-c4b9bd4d35144449b6ab31ee1cbdef51","Directed","false"
"id-5bbd68eebd8a47b69700e152dde2d2ab","Directed","false"
"EAID_945240A9_3922_4d81_9C3A_991E908BE166","Access_Type","Write"
"id-fbaa4cbe0ca3401ab23774d70da24bd3","Access_Type","Read"
"EAID_3BC4555F_8E91_4a83_96F4_264CF17113BA","Access_Type","Write"
"id-4b165a4b76ff41e3bf71b0646055d29d","Access_Type","Write"
"id-7954fb624ec841569289e9e302c5c33a","Directed","true"
"id-5c14e017eae44e08a7523ba7af75087a","Directed","false"
"id-980927081926484181ff97f9c4eb5d4f","Directed","false"
"id-8dc03047cd8b445688366c34a7dc1a3b","Access_Type","Read"
"id-d0e93e6390e84f5cbe366924af29e2a7","Directed","false"
"id-dd929ec80fe9485da576dee23945fd54","Directed","false"
"id-c7dbf7f8dbff41ef9d42ebc31a167d8d","Directed","false"
"EAID_CFE4AA09_9FCA_4e50_8C2D_9F516DFF055D","First Increment","5"
"EAID_CFE4AA09_9FCA_4e50_8C2D_9F516DFF055D","Access_Type","Read"
"EAID_A64B8856_A5F6_4b15_929B_64FDFF7AEA5A","Access_Type","Read"
"id-41e9bd5d5f214179bf0c2ab4abe240f4","Directed","false"
"id-5b212c0878274d729041ce459714be96","Directed","false"
"id-44fc3deea917499c82fa356aebd4b369","Directed","true"
"id-99e136c848d44b76b4868068bfe4b2b0","Directed","false"
"id-40ba3427037341b5a57da401eb3846ec","Directed","false"
"id-28303c7c9f4e4b9b8311073bf1fcf582","Directed","true"
"id-b94f14a57e254657b1147dd5712cfa21","Access_Type","ReadWrite"
"id-72a637ab2ee144a28748ab5c2fbc7e03","Access_Type","Read"
"id-6a675d3f952e47008d3921485244676f","Access_Type","Write"
"id-71f4dd8ed5f54e998a2176bdb8d44044","Directed","false"
"id-761c23eee4e243b1b93b32322e7aca59","Access_Type","Read"
"id-1e184287cd9641db8d75692082e17c1a","Directed","false"
"id-bbbd9d6622e34ab4a258c610dd312dbd","Directed","false"
"id-534ce633037944958467863897d61d8b","Directed","false"
"EAID_A086A440_8B48_4915_B40F_16B02F9AF5B0","Access_Type","Write"
"id-566d86631ad840c6ac5bb5ad0bc565b3","Directed","false"
"id-3a07cfaaabc34331b2c882d4b1c40055","Access_Type","Read"
"id-50c6ce4f704e4c5eb43b6e267b6a6a0c","Directed","false"
"id-17455dbe92cc452aa42de69d1f50b344","Access_Type","Read"
"EAID_D5E0973B_96B6_4e5c_B137_CF0F08BA38F6","Access_Type","Read"
"id-686d1f28a0984f19ad4441d9a512100f","Access_Type","Read"
"id-4f391d9d5c804f228e1f96a3d8af7044","Directed","false"
"id-7f3404694a6e4ba992be7a9b5dee0bc5","Directed","false"
"id-cc37a834069b408d9f8b389bed98314a","Access_Type","ReadWrite"
"id-d1570fe330634784b5de78767592aafc","Directed","false"
"id-e702c0b2745943d1a85dbccfcf04d933","Access_Type","Read"
"id-0f49573689134a9b9a1bb1e706de28ba","Access_Type","Read"
"id-5b5f1fcd96cd4f83a725822b4a1388f1","Access_Type","Read"
"id-310e46ae247d4c70acbadfdd23b8a738","Access_Type","Write"
"id-a7e1a87142e74351a906d54197a90314","Directed","false"
"id-f8d1c50022864c609d2cbbd69258db4b","Directed","true"
"id-3e0edaaeae584884a4946059f564b27b","Directed","true"
"id-b669b8a19a154bacbe54a7f04295be1b","Directed","false"
"EAID_F77AB553_7067_41c2_BB7B_4CF79153ECDF","Access_Type","Read"
"id-977870b9bd0c48d49ebb83aa86d22255","Directed","true"
"id-be4158fedf744704a3df5f5333b44827","Access_Type","Read"
"id-899093106b7848749e4e545dc4ebd507","Access_Type","Write"
"id-754b9474f65a41a4adebc8fb1283127c","Directed","false"
"id-2cf3bf81fcd64a3298621ba87285c8b0","Directed","false"
"id-202cbe1b2c9a41ad9e23cdff62f52e4c","Directed","false"
"id-e13a0031928b45098ca50d642e0dce29","Directed","false"
"id-d43fffdda03c44bd9f70b31dc30fbe99","Directed","false"
"id-74f304fe22ed43738b42f27236967379","Access_Type","ReadWrite"
"id-d0174063c51444d19743c83b19c92cdf","Directed","true"
"id-00d83697a03b40669f1939d923adf6f1","Directed","true"
