"ID","Type","Name","Documentation","Source","Target","Specialization"
"EAID_C1039B4E_6D10_4d43_B380_15D674937A29","AccessRelationship","","","EAID_65268548_D50E_45ad_8F03_58C29D0E9F7C","EAID_6C4CAEE9_8499_47e2_A441_AE01C57CC898",""
"id-39e2716bfbce4fe1b297390e299cee2e","AccessRelationship","","","EAID_8498C704_8821_4d32_8D51_177A849D2326","id-e51134b5b6174081aba66a5204d5ed9e",""
"id-d51da66cbaec43e0870b37437f000559","AccessRelationship","","","id-e508c830ee24471886d93a6d0d38d4ae","id-6585f4890f9c43c1bcadda3c0d3421fe",""
"id-686cf459962c4d2196b23aa28ac87f7e","AccessRelationship","","","id-901613156ceb4392b99d6bc368e62086","id-66f54c52c5524053b01de7f67da1da67",""
"id-3c5cc1d389b241c48edb3a9287d972ad","AccessRelationship","","","id-c9ed4ccf17b245a4aeec04c8c20f177c","EAID_2429D480_8132_48fc_AA0B_CB2621E88DFC",""
"id-1fa487986cee45e58097decf60be83c6","AccessRelationship","","","id-6e1fe141959e400e8c36c8e58226e65d","id-9613c96de94d48f38e6ac275e550fd27",""
"EAID_381B9EA2_42D9_4f8e_BD5F_BAC509039BF6","AccessRelationship","","","EAID_B768A82C_7D1C_43bc_8BAB_023FCFB0987C","EAID_07D7C461_EC37_4b43_9698_B0C2A8485D56",""
"EAID_EC868F19_E611_44df_A645_94F4F4DD2D59","AccessRelationship","","","EAID_8498C704_8821_4d32_8D51_177A849D2326","EAID_A8D221BC_E568_4842_BBC5_170FB0C99615",""
"EAID_BF4EBF76_274F_44c9_95CA_85A87756F85F","AccessRelationship","","","EAID_D5D6B2F1_11BE_4985_B1D5_D5DA4380F2E1","EAID_AF17887A_3859_4316_A4D3_36742DA5533D",""
"EAID_64EF0FC3_BD9A_4df1_A803_730D77C84E51","AccessRelationship","","","EAID_8498C704_8821_4d32_8D51_177A849D2326","EAID_C91B790E_A9EC_40f8_8EE4_B9D270E2CF11",""
"id-fb1ab7d9512240f09d2e88e67aee894e","AccessRelationship","","","id-311dd552c9a942c19308621b67e936b3","id-f1ea93408afa4784bf43c86617bb43fe",""
"id-44ac02ec751848378714fc94ea1d54ab","AccessRelationship","","","id-805ae7fc5d23414dbf0ffda508befffd","id-74ba2b9f04874cce95ae7033f6bec57c",""
"EAID_BB28FFB3_BC7E_4fe2_AC29_9C8DE86C3D70","AccessRelationship","","","EAID_B768A82C_7D1C_43bc_8BAB_023FCFB0987C","EAID_C91B790E_A9EC_40f8_8EE4_B9D270E2CF11",""
"id-45476e6196e846caaa77302c85b5ee20","AccessRelationship","","","id-ea5b395923824b04b715f2fb587c4a2e","id-ad35c321a8704123879535f2473f2115",""
"id-a653aa8c2ac84ac1b26e4b5a0f76cd0f","AccessRelationship","","","id-311dd552c9a942c19308621b67e936b3","id-e635aff004bc43ab96fbbbab8a0ace64",""
"id-5d1b6038d223478c8af42e6382bba808","AccessRelationship","","","id-1f790482a7e4459db403b231f1a8c020","EAID_2784DB42_7413_4c24_BE34_C9991EEE5112",""
"id-8188da6b69cd4956aec5b11f4c03e2c3","AccessRelationship","","","EAID_AAB1269E_7BD3_43de_B44C_44417E32B9C2","id-e3a763c4671149c1a0686f5d34a801f3",""
"id-9ce1a82093734431b6cbba23a601b44c","AccessRelationship","","","id-1f790482a7e4459db403b231f1a8c020","EAID_AF17887A_3859_4316_A4D3_36742DA5533D",""
"id-9950eef9bbb24c5f832a63cf41ecf81c","AccessRelationship","","","id-8617d1616537462b86fb569a9af60b97","id-9b03569b706d48589b60bf60854a2552",""
"id-a98d9d9dee8945cebc4d5cf87de15ad4","AccessRelationship","","","id-6e1fe141959e400e8c36c8e58226e65d","id-592b4795a38544189bd5a5583bd4877a",""
"id-5f5c522769b04131bd0691135980dc0d","AccessRelationship","","","id-1fed1c57ed7e479b8e7951116ee61942","id-9865342701114a8582a82ffec3cea087",""
"id-22438b849b384355b0755b631bc11a81","AccessRelationship","","","id-805ae7fc5d23414dbf0ffda508befffd","id-fa3e310a98ce4d60baf4aed4e186b53f",""
"id-f4b707d54fb34f52a980a5edf180335f","AccessRelationship","","","id-c9ed4ccf17b245a4aeec04c8c20f177c","EAID_552AF969_31E7_443e_9F30_299C0A9032CD",""
"id-26b7a290673a47e5a97374770a254b69","AccessRelationship","","","id-901613156ceb4392b99d6bc368e62086","id-126e82e702b24b5f8c67f92bc191f2ef",""
"id-7eccd8ed50ff4e179f4fccc5a00a12f1","AccessRelationship","","","id-c9ed4ccf17b245a4aeec04c8c20f177c","EAID_E66CE9E1_D1AA_4e65_9948_F31053711580",""
"id-18e88c470ccf45a3bd6186500428dc3a","AccessRelationship","","","id-9138a534ea3a4ac1895adb46e5344669","id-f56cb6cd4ce642e0b385debd784b2f5e",""
"id-faa8124cdb3d4c5cbdcf7fe2e504c84e","AccessRelationship","","","id-311dd552c9a942c19308621b67e936b3","id-fb38f59038a248139f90f77ba6828288",""
"id-f89a052bcd064c86b97629b83af3aaf1","AccessRelationship","","","id-4a24708a8cc74d7e84e5b2e2da8c5ac2","id-fb38f59038a248139f90f77ba6828288",""
"id-2fff31f230434889aa27b8de8a2fdaea","AccessRelationship","","","id-c9ed4ccf17b245a4aeec04c8c20f177c","EAID_01AE7FE7_5E3A_4d6b_9922_E7601F1DB32D",""
